mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
0.3106527328491211,0.011396854574443123,0.015999603271484374,0.0034015171491264275,0.05,3,"{'model__learning_rate': 0.05, 'model__max_depth': 3}",0.8842820809467055,0.9001984017200085,0.8499765588373183,0.9016711229946524,0.9062880460426291,0.8884832421082628,0.02063293785081379,4,0.987502227856146,0.9906388968794614,0.9906322209509788,0.9898554332234634,0.9898435459093982,0.9896944649638897,0.001151119227529795,0.884375,0.9,0.85,0.903125,0.90625,0.8887499999999999,0.020785361435394865,4,0.9875,0.990625,0.990625,0.98984375,0.98984375,0.9896874999999999,0.001148198316929592
0.46236567497253417,0.018249315222583162,0.008196020126342773,0.007374949361658167,0.05,5,"{'model__learning_rate': 0.05, 'model__max_depth': 5}",0.8935854655952825,0.9100472896668549,0.8652444178001416,0.8987724555026877,0.9065161548679481,0.8948331566865828,0.015877849766004596,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.89375,0.909375,0.865625,0.9,0.90625,0.8949999999999999,0.015637495003996024,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2866194248199463,0.007527801320980046,0.014977264404296874,0.006396192391243889,0.1,3,"{'model__learning_rate': 0.1, 'model__max_depth': 3}",0.8971779702501225,0.9093159740135899,0.8748217703816555,0.92127790409999,0.922133987937535,0.9049455213365786,0.01760151237195088,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.896875,0.909375,0.875,0.921875,0.921875,0.905,0.01763341997458236,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4079286098480225,0.004745670230885032,0.00381317138671875,0.003285286592473567,0.1,5,"{'model__learning_rate': 0.1, 'model__max_depth': 5}",0.9062353492733239,0.9036358718692761,0.8629492249601087,0.9086503547287861,0.919280077955444,0.9001501757573876,0.019345781736482288,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.90625,0.903125,0.8625,0.909375,0.91875,0.9,0.019465514377996773,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
