mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
0.06554288864135742,0.008680242783252568,0.024967527389526366,0.004928588275754379,1,scale,"{'model__C': 1, 'model__gamma': 'scale'}",0.8547379032258065,0.8660639412997904,0.8428785850885012,0.8586401309850493,0.8704046093445408,0.8585450339887377,0.009561635885147047,1,0.9828461806134942,0.9781659161307817,0.9875053727006368,0.984395047476204,0.9828267729442217,0.9831478579730677,0.0030185183651143324,0.853125,0.865625,0.840625,0.859375,0.86875,0.8575000000000002,0.010000000000000014,1,0.9828125,0.978125,0.9875,0.984375,0.9828125,0.9831249999999999,0.003029799910885212
0.08974270820617676,0.027663494429751863,0.022000503540039063,0.002893543600945683,10,scale,"{'model__C': 10, 'model__gamma': 'scale'}",0.8327018853660884,0.8562431629942179,0.8567595010675679,0.8331008911483575,0.8825483025855143,0.8522707486323494,0.01845580176076917,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.83125,0.85625,0.85625,0.834375,0.88125,0.851875,0.018071040368501184,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
